codigo,n_anpc,ano,mes,dia,data_alerta,hora_alerta,data_extincao,hora_extincao,data_1intervencao,hora_1intervencao,distrito,concelho,freguesia,local,dico_ine,lat,lon,x_militar,y_militar,coord_fonte,area_total_ha,area_povoamento_ha,area_mato_ha,area_agricola_ha,tipo,causa_codigo,causa_tipo,reacendimento,incendio_florestal,incendio_agricola,queimada,duracao_h
TM201232,10193.0,2001,7,31,2001-07-31,13:55:00,2001-07-31,18:20:00,2001-07-31,14:05:00,Bragança,Miranda do Douro,Palaçoulo,Lameirão \ REG,40609,41.477778,-6.477778,338247.25,502285.5,dms_recuperado,605.03,125.0,293.03,187.0,Florestal,4.0,Intencional,0,1,0,0,4.42
TM201231,10182.0,2001,7,31,2001-07-31,12:50:00,2001-08-01,00:35:00,2001-07-31,12:57:00,Bragança,Alfândega Da Fé,Cerejais,Vinha da Lameira \ REG,40103,41.309167,-6.934722,300335.0,482915.0,dms_recuperado,443.02,17.0,303.02,123.0,Florestal,,,0,1,0,0,11.75
DM201114,16245.0,2001,8,3,2001-08-03,17:47:00,2001-08-06,18:15:00,,,Aveiro,Arouca,Covelo de Paivó,COVELO DE PAIVÔ,10408,40.883056,-8.163889,197400.0,434900.0,dms_recuperado,174.0,95.0,79.0,0.0,Florestal,12.0,Negligente,0,1,0,0,72.47
AT901350,50.0,2001,8,4,2001-08-04,16:50:00,2001-08-04,23:00:00,2001-08-04,16:54:00,Beja,Beja,Trindade,MARZELONAS,20517,37.901944,-7.952222,215893.0,103958.0,dms_recuperado,155.0,149.0,0.0,6.0,Florestal,,,0,1,0,0,6.17
DM401179,13259.0,2001,8,4,2001-08-04,15:49:00,2001-08-05,05:40:00,2001-08-04,16:04:00,Viana do Castelo,Viana do Castelo,Meixedo,MEIXEDO,160918,41.76,-8.711111,151930.0,532458.0,dms_recuperado,145.0,145.0,0.0,0.0,Florestal,4.0,Intencional,0,1,0,0,13.85
BI101442,11556.0,2001,8,4,2001-08-04,15:06:00,2001-08-04,19:45:00,2001-08-04,15:20:00,Guarda,Celorico da Beira,Mesquitela,MESQUITELA,90310,40.587778,-7.501111,253500.0,402300.0,dms_recuperado,106.0,7.0,99.0,0.0,Florestal,6.0,Desconhecida,0,1,0,0,4.65
BI201362,15365.0,2001,8,5,2001-08-05,17:36:00,2001-08-08,06:02:00,2001-08-05,17:36:00,Castelo Branco,Idanha-a-Nova,Idanha-a-Nova,Barragem Marechal Carmona,50503,39.970556,-7.209444,278900.0,334000.0,dms_recuperado,675.0,445.0,230.0,0.0,Florestal,,,0,1,0,0,60.43
TM101544,7367.0,2001,8,5,2001-08-05,14:48:00,2001-08-06,04:35:00,2001-08-05,14:50:00,Vila Real,Vila Real,Mouçós,Alto do Vale da Joga \ MTE,171417,41.339722,-7.690278,237068.0,485733.0,dms_recuperado,400.69,228.28,172.41,0.0,Florestal,4.0,Intencional,0,1,0,0,13.78
BI201360,15357.0,2001,8,5,2001-08-05,14:47:00,2001-08-07,19:45:00,2001-08-05,14:54:00,Castelo Branco,Idanha-a-Nova,Segura,SEGURA,50515,39.828056,-6.985833,298200.0,318400.0,dms_recuperado,225.0,128.0,97.0,0.0,Florestal,,,0,1,0,0,52.97
BI101460,11671.0,2001,8,5,2001-08-05,14:55:00,2001-08-06,00:00:00,2001-08-05,15:00:00,Guarda,Guarda,Maçainhas,Chãos,90723,40.541667,-7.320833,268800.0,397300.0,dms_recuperado,100.0,22.0,78.0,0.0,Florestal,,,0,1,0,0,9.08
